year,county,income,unit
110,連江縣,346,萬元
110,金門縣,3813.7,萬元
110,澎湖縣,1498.1,萬元
110,臺東縣,676.7,萬元
110,花蓮縣,22501,萬元
110,宜蘭縣,8106.4,萬元
110,屏東縣,3913.2,萬元
110,臺南市,22773,萬元
110,嘉義市,186.8,萬元
110,嘉義縣,8408.3,萬元
110,雲林縣,20736.5,萬元
110,南投縣,5268.8,萬元
110,彰化縣,6645.7,萬元
110,臺中市,45789.7,萬元
110,苗栗縣,16257.3,萬元
110,新竹市,1767,萬元
110,新竹縣,13586,萬元
110,桃園縣,50310.2,萬元
110,新北市,11278.6,萬元
110,基隆市,4399.7,萬元
110,高雄市,60069.6,萬元
110,臺北市,744.2,萬元
109,連江縣,374.0,萬元
109,金門縣,"3,678.2",萬元
109,澎湖縣,"1,746.2",萬元
109,臺東縣,796.8,萬元
109,花蓮縣,"24,165.4",萬元
109,宜蘭縣,"8,874.5",萬元
109,屏東縣,"3,587.0",萬元
109,臺南市,"14,347.6",萬元
109,嘉義市,92.3,萬元
109,嘉義縣,"7,097.4",萬元
109,雲林縣,"25,717.3",萬元
109,南投縣,"5,456.9",萬元
109,彰化縣,"5,039.5",萬元
109,臺中市,"36,255.3",萬元
109,苗栗縣,"12,029.9",萬元
109,新竹市,"1,904.8",萬元
109,新竹縣,"13,778.9",萬元
109,桃園縣,"49,352.3",萬元
109,新北市,"8,738.9",萬元
109,基隆市,"3,142.5",萬元
109,高雄市,"60,750.0",萬元
109,臺北市,653.3,萬元
108,連江縣,393.3,萬元
108,金門縣,"4,147.3",萬元
108,澎湖縣,"1,700.5",萬元
108,臺東縣,850.2,萬元
108,花蓮縣,"23,501.4",萬元
108,宜蘭縣,"8,337.4",萬元
108,屏東縣,"2,992.6",萬元
108,臺南市,"14,722.8",萬元
108,嘉義市,97.6,萬元
108,嘉義縣,"6,946.6",萬元
108,雲林縣,"27,407.4",萬元
108,南投縣,"2,846.9",萬元
108,彰化縣,"5,896.2",萬元
108,臺中市,"58,209.9",萬元
108,苗栗縣,"11,597.1",萬元
108,新竹市,"1,698.3",萬元
108,新竹縣,"10,357.4",萬元
108,桃園縣,"60,248.0",萬元
108,新北市,"9,090.6",萬元
108,基隆市,"5,692.6",萬元
108,高雄市,"67,486.1",萬元
108,臺北市,630.3,萬元
107,連江縣,618.5,萬元
107,金門縣,"3,708.5",萬元
107,澎湖縣,"1,491.9",萬元
107,臺東縣,410.1,萬元
107,花蓮縣,"19,705.2",萬元
107,宜蘭縣,"8,461.8",萬元
107,屏東縣,"2,836.1",萬元
107,臺南市,"15,794.2",萬元
107,嘉義市,112.8,萬元
107,嘉義縣,"8,257.1",萬元
107,雲林縣,"30,066.0",萬元
107,南投縣,"2,079.4",萬元
107,彰化縣,"7,233.2",萬元
107,臺中市,"43,411.4",萬元
107,苗栗縣,"15,093.0",萬元
107,新竹市,"1,486.0",萬元
107,新竹縣,"11,071.0",萬元
107,桃園縣,"56,650.8",萬元
107,新北市,"8,272.9",萬元
107,基隆市,"9,676.8",萬元
107,高雄市,"70,697.5",萬元
107,臺北市,520.0,萬元
106,連江縣,587.900,萬元
106,金門縣,3363.100,萬元
106,澎湖縣,1260.800,萬元
106,臺東縣,91.500,萬元
106,花蓮縣,13444.300,萬元
106,宜蘭縣,5762.700,萬元
106,屏東縣,2135.700,萬元
106,臺南市,17964.400,萬元
106,嘉義市,228.300,萬元
106,嘉義縣,7199.200,萬元
106,雲林縣,83642.400,萬元
106,南投縣,1446.000,萬元
106,彰化縣,4926.800,萬元
106,臺中市,43227.400,萬元
106,苗栗縣,15293.800,萬元
106,新竹市,2304.100,萬元
106,新竹縣,9962.200,萬元
106,桃園縣,54071.600,萬元
106,新北市,7537.100,萬元
106,基隆市,21884.500,萬元
106,高雄市,70298.900,萬元
106,臺北市,392.000,萬元
105,連江縣,509.2,萬元
105,金門縣,3684,萬元
105,澎湖縣,1272.4,萬元
105,臺東縣,89.4,萬元
105,花蓮縣,13257.8,萬元
105,宜蘭縣,6364.6,萬元
105,屏東縣,3826.5,萬元
105,臺南市,14928.8,萬元
105,嘉義市,109.2,萬元
105,嘉義縣,7583.5,萬元
105,雲林縣,41454.8,萬元
105,南投縣,1364.2,萬元
105,彰化縣,5717,萬元
105,臺中市,42751.1,萬元
105,苗栗縣,13102,萬元
105,新竹市,1685.1,萬元
105,新竹縣,8993.4,萬元
105,桃園縣,55862.5,萬元
105,新北市,8689.5,萬元
105,基隆市,16684.9,萬元
105,高雄市,74501.7,萬元
105,臺北市,416.3,萬元
104,連江縣,421.600,萬元
104,金門縣,3671.800,萬元
104,澎湖縣,1257.800,萬元
104,臺東縣,51.800,萬元
104,花蓮縣,13882.600,萬元
104,宜蘭縣,6536.800,萬元
104,屏東縣,1652.400,萬元
104,臺南市,13341.000,萬元
104,嘉義市,171.400,萬元
104,嘉義縣,7801.500,萬元
104,雲林縣,21419.900,萬元
104,南投縣,1459.300,萬元
104,彰化縣,4845.700,萬元
104,臺中市,40367.900,萬元
104,苗栗縣,11913.600,萬元
104,新竹市,1531.200,萬元
104,新竹縣,10074.100,萬元
104,桃園縣,44938.900,萬元
104,新北市,11275.400,萬元
104,基隆市,14956.900,萬元
104,高雄市,65436.900,萬元
104,臺北市,440.600,萬元
